dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
higgs,pca,baseline_sklearn,5,0.613552,0.000635,0.00078844,0.6058826,0.00045227,0.00056156,27,0.0,0.0,0.0417412,0.01780004,0.0221013,2.1637688,0.11126065,0.1381461,2.2055106,0.11498557,0.14277113,0.0188656,0.00766445,0.00951651,54.043722,0.000108,0.0001341,99.6340346,0.00078236,0.00097141
higgs,rbf_svm,baseline_sklearn,5,0.679268,0.00150885,0.00187345,0.673773,0.00200276,0.00248671,28,0.0,0.0,0.0,0.0,0.0,54.2739374,0.58363177,0.72466278,54.2739374,0.58363177,0.72466278,0.0,0.0,0.0,0.0,0.0,0.0,38.161244,0.00573393,0.0071195
higgs,mlp,baseline_sklearn,5,0.746732,0.00134055,0.00166448,0.745241,0.002144,0.00266208,28,0.0,0.0,0.0,0.0,0.0,220.799401,11.44179878,14.20663882,220.799401,11.44179878,14.20663882,0.0,0.0,0.0,0.0,0.0,0.0,165.423428,0.00288699,0.00358462
higgs,torch_mlp,baseline_torch,5,0.748414,0.00176766,0.00219481,0.747381,0.00184004,0.00228468,28,0.0,0.0,,,,,,,79.6354642,1.92827468,2.39423035,,,,,,,100.328448,0.0,0.0
high_dim_parity,amplitude,qie_sklearn,5,0.4887,0.00852643,0.01058679,0.487331,0.00856117,0.01062992,32,0.0,0.0,0.0027242,0.00017459,0.00021678,0.0039758,0.00018844,0.00023398,0.0067002,0.00032722,0.00040629,0.40645613,0.01178848,0.0146371,4.674552,0.0,0.0,0.3135238,0.00013996,0.00017378
high_dim_parity,angle,qie_sklearn,5,0.5009,0.00435029,0.00540151,0.5006246,0.00429376,0.00533132,40,0.0,0.0,0.0079128,0.00042935,0.0005331,0.0058454,0.00100332,0.00124577,0.013758,0.0009996,0.00124115,0.57702903,0.04329495,0.0537569,8.962896,0.0,0.0,0.3068148,0.00034958,0.00043406
high_dim_parity,basis,qie_sklearn,5,0.5056,0.01176542,0.01460846,0.505315,0.01167823,0.0145002,160,0.0,0.0,0.005704,0.00027698,0.00034391,1.0726002,0.25859915,0.32108804,1.0783042,0.25848389,0.32094492,0.00555104,0.00141447,0.00175627,13.4422196,3.22e-05,3.998e-05,10.5811878,0.00050619,0.00062851
high_dim_parity,amplitude_torch,qie_torch,5,0.4895,0.00838898,0.01041613,0.4886872,0.00819058,0.01016978,32,0.0,0.0,,,,,,,1.1421772,0.04543327,0.05641194,,,,,,,19.536384,0.0,0.0
high_dim_parity,angle_torch,qie_torch,5,0.5025,0.00467707,0.00580726,0.4985824,0.00301355,0.00374176,40,0.0,0.0,,,,,,,0.9964608,0.03970624,0.04930101,,,,,,,19.864576,0.0,0.0
high_dim_parity,basis_torch,qie_torch,5,0.504,0.00496236,0.00616148,0.4992042,0.00939767,0.01166855,160,0.0,0.0,,,,,,,1.0538992,0.03924316,0.04872603,,,,,,,24.790528,0.0,0.0
high_dim_parity,raw_linear,baseline_sklearn,5,0.4897,0.00514296,0.00638572,0.4883524,0.00526156,0.00653299,20,0.0,0.0,0.0017152,6.302e-05,7.825e-05,0.003331,4.211e-05,5.229e-05,0.0050462,9.134e-05,0.00011341,0.33982372,0.007282,0.00904165,1.6691944,6.157e-05,7.645e-05,0.2959622,5.897e-05,7.322e-05
