dataset,seed,method,method_type,feature_dim,accuracy,f1_macro,encoding_s,training_s,total_s,overhead_ratio,encoding_peak_mb,training_peak_mb
dry_bean,99,poly3,baseline_sklearn,968,0.93206,0.942394,0.126274,193.976938,194.103212,0.0006505508007770628,179.304662,3.612282
dry_bean,1337,poly3,baseline_sklearn,968,0.922879,0.935207,0.200632,218.285468,218.4861,0.0009182826733599987,179.304446,3.611875
dry_bean,2026,poly3,baseline_sklearn,968,0.929122,0.940106,0.168618,225.949521,226.11814,0.0007457075314700536,179.304716,3.614071
dry_bean,7,pca,baseline_sklearn,15,0.906353,0.918043,0.002339,4.500054,4.502392,0.0005195016337982121,1.705322,1.455142
dry_bean,42,pca,baseline_sklearn,15,0.904884,0.918204,0.001827,4.213398,4.215225,0.0004334288205255947,1.70516,1.454921
dry_bean,99,pca,baseline_sklearn,15,0.908189,0.919027,0.001849,4.611255,4.613104,0.000400814722581585,1.705052,1.453938
dry_bean,1337,pca,baseline_sklearn,15,0.897539,0.911636,0.001616,4.708682,4.710298,0.0003430780812594023,1.705052,1.453364
dry_bean,2026,pca,baseline_sklearn,15,0.902314,0.914305,0.001649,4.525971,4.52762,0.0003642090104734938,1.705322,1.455334
dry_bean,7,rbf_svm,baseline_sklearn,16,0.929122,0.941522,0.0,0.398188,0.398188,0.0,0.0,2.886457
dry_bean,42,rbf_svm,baseline_sklearn,16,0.922145,0.934297,0.0,0.410448,0.410448,0.0,0.0,2.886637
dry_bean,99,rbf_svm,baseline_sklearn,16,0.934264,0.943892,0.0,0.409444,0.409444,0.0,0.0,2.886524
dry_bean,1337,rbf_svm,baseline_sklearn,16,0.92545,0.937061,0.0,0.401154,0.401154,0.0,0.0,2.886043
dry_bean,2026,rbf_svm,baseline_sklearn,16,0.93206,0.944105,0.0,0.398673,0.398673,0.0,0.0,2.886583
dry_bean,7,mlp,baseline_sklearn,16,0.930591,0.942319,0.0,30.081778,30.081778,0.0,0.0,9.756272
dry_bean,42,mlp,baseline_sklearn,16,0.922145,0.93392,0.0,60.881874,60.881874,0.0,0.0,9.762707
dry_bean,99,mlp,baseline_sklearn,16,0.935733,0.945368,0.0,34.767829,34.767829,0.0,0.0,9.757402
dry_bean,1337,mlp,baseline_sklearn,16,0.924715,0.937122,0.0,68.30238,68.30238,0.0,0.0,9.759202
dry_bean,2026,mlp,baseline_sklearn,16,0.928021,0.940476,0.0,29.171244,29.171244,0.0,0.0,9.720661
dry_bean,7,torch_mlp,baseline_torch,16,0.935365,0.946601,,,2.303144,,,20.013056
dry_bean,42,torch_mlp,baseline_torch,16,0.92949,0.939999,,,2.186279,,,20.013056
dry_bean,99,torch_mlp,baseline_torch,16,0.933896,0.945496,,,2.260342,,,20.013056
dry_bean,1337,torch_mlp,baseline_torch,16,0.920308,0.932423,,,2.110339,,,20.013056
dry_bean,2026,torch_mlp,baseline_torch,16,0.927286,0.93907,,,2.203508,,,20.013056
credit_card_fraud,7,amplitude,qie_sklearn,32,0.998859,0.769218,0.04478,1.174964,1.219744,0.03671262166487394,165.873712,7.570971
credit_card_fraud,42,amplitude,qie_sklearn,32,0.998754,0.747915,0.042971,0.977806,1.020777,0.04209636384832339,165.873712,7.570277
credit_card_fraud,99,amplitude,qie_sklearn,32,0.998929,0.78342,0.044845,1.23024,1.275085,0.035170204339318556,165.873712,7.570575
credit_card_fraud,1337,amplitude,qie_sklearn,32,0.998754,0.751436,0.042738,1.264874,1.307612,0.03268400718255874,165.873712,7.570904
credit_card_fraud,2026,amplitude,qie_sklearn,32,0.998718,0.747955,0.04917,1.368225,1.417396,0.034690375872374404,165.873712,7.571383
credit_card_fraud,7,angle,qie_sklearn,58,0.999087,0.843145,1.612562,1.55025,3.162812,0.5098507277700982,370.02332,7.573334
credit_card_fraud,42,angle,qie_sklearn,58,0.999087,0.848609,0.528985,1.043999,1.572984,0.3362939483173383,370.02332,7.573186
credit_card_fraud,99,angle,qie_sklearn,58,0.999157,0.860254,0.188392,0.762289,0.95068,0.1981655236251946,370.02332,7.572651
credit_card_fraud,1337,angle,qie_sklearn,58,0.99907,0.844796,0.679498,1.191642,1.871139,0.36314672506959667,370.02332,7.573094
credit_card_fraud,2026,angle,qie_sklearn,58,0.999052,0.826686,1.201824,0.882357,2.084182,0.5766406196771683,370.02332,7.572705
credit_card_fraud,7,basis,qie_sklearn,232,0.999403,0.901013,2.574341,5.725232,8.299573,0.31017752359067147,555.03287,430.497044
credit_card_fraud,42,basis,qie_sklearn,232,0.99921,0.868223,1.046526,4.190289,5.236816,0.199840131866386,555.032798,430.497078
credit_card_fraud,99,basis,qie_sklearn,232,0.999263,0.881838,0.177399,3.586482,3.763881,0.04713193642413243,555.032798,430.497245
credit_card_fraud,1337,basis,qie_sklearn,232,0.99935,0.892901,1.126893,5.187493,6.314385,0.17846441102340133,555.032798,430.497535
credit_card_fraud,2026,basis,qie_sklearn,232,0.99935,0.889059,2.002873,5.963491,7.966364,0.2514162044315324,555.032798,430.496233
credit_card_fraud,7,amplitude_torch,qie_torch,32,0.998631,0.685141,,,28.738192,,,68.35456
